TrealK	TsampK	STsamK	TheaterK	STheateK	mi0HmT	sH	Memu	sMemu	Memupg	pointtoStat	timebetmeasms	actualTime
190,557500E+0	178,640000E+0	0,000000E+0	198,003333E+0	5,773503E-3	8,890000E+0	0,000000E+0	505,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719840820890E+9
190,594784E+0	178,660000E+0	0,000000E+0	198,053333E+0	5,773503E-3	8,883333E+0	5,773503E-3	505,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719840830880E+9
190,758741E+0	178,716667E+0	5,773503E-3	198,296667E+0	15,275252E-3	8,883333E+0	5,773503E-3	505,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719840840880E+9
190,937856E+0	178,800000E+0	34,809343E-15	198,546667E+0	5,773503E-3	8,880000E+0	0,000000E+0	503,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719840850930E+9
191,119236E+0	178,866667E+0	5,773503E-3	198,813333E+0	15,275252E-3	8,880000E+0	0,000000E+0	506,393333E-3	1,154701E-3	Inf	3,000000E+0	250,000000E+0	3,719840860930E+9
191,326358E+0	178,993333E+0	5,773503E-3	199,080000E+0	20,000000E-3	8,863333E+0	5,773503E-3	505,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719840870920E+9
191,545866E+0	179,140000E+0	10,000000E-3	199,353333E+0	15,275252E-3	8,860000E+0	0,000000E+0	503,726667E-3	1,154701E-3	Inf	3,000000E+0	250,000000E+0	3,719840880920E+9
191,806996E+0	179,356667E+0	32,145503E-3	199,646667E+0	49,328829E-3	5,906667E+0	5,115323E+0	503,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719840890920E+9
191,994145E+0	179,516667E+0	5,773503E-3	199,853333E+0	5,773503E-3	8,856667E+0	5,773503E-3	503,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719840900910E+9
192,224298E+0	179,723333E+0	15,275252E-3	200,100000E+0	0,000000E+0	8,860000E+0	0,000000E+0	501,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719840910910E+9
192,457223E+0	179,910000E+0	10,000000E-3	200,366667E+0	57,735027E-3	8,870000E+0	0,000000E+0	501,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719840920910E+9
192,682647E+0	180,123333E+0	5,773503E-3	200,600000E+0	0,000000E+0	8,863333E+0	5,773503E-3	503,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719840930900E+9
192,910952E+0	180,343333E+0	5,773503E-3	200,833333E+0	57,735027E-3	8,860000E+0	0,000000E+0	500,393333E-3	1,154701E-3	Inf	3,000000E+0	250,000000E+0	3,719840940900E+9
193,161169E+0	180,570000E+0	10,000000E-3	201,100000E+0	0,000000E+0	8,813333E+0	5,773503E-3	501,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719840950900E+9
193,395238E+0	180,803333E+0	15,275252E-3	201,333333E+0	57,735027E-3	8,820000E+0	0,000000E+0	499,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719840960890E+9
193,648339E+0	181,036667E+0	5,773503E-3	201,600000E+0	0,000000E+0	8,830000E+0	0,000000E+0	499,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719840970890E+9
193,947842E+0	181,333333E+0	15,275252E-3	201,900000E+0	0,000000E+0	5,876667E+0	5,089345E+0	498,393333E-3	1,154701E-3	Inf	3,000000E+0	250,000000E+0	3,719840980890E+9
194,145588E+0	181,526667E+0	15,275252E-3	202,100000E+0	0,000000E+0	8,823333E+0	5,773503E-3	497,726667E-3	1,154701E-3	Inf	3,000000E+0	250,000000E+0	3,719840990880E+9
194,430690E+0	181,790000E+0	20,000000E-3	202,400000E+0	0,000000E+0	8,810000E+0	0,000000E+0	499,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719841000880E+9
194,660092E+0	182,056667E+0	15,275252E-3	202,600000E+0	0,000000E+0	8,800000E+0	10,000000E-3	497,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719841010870E+9
194,942319E+0	182,313333E+0	15,275252E-3	202,900000E+0	0,000000E+0	8,790000E+0	10,000000E-3	497,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719841020870E+9
195,168813E+0	182,573333E+0	15,275252E-3	203,100000E+0	0,000000E+0	8,793333E+0	5,773503E-3	493,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719841030870E+9
195,453919E+0	182,836667E+0	11,547005E-3	203,400000E+0	0,000000E+0	8,803333E+0	11,547005E-3	495,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719841040860E+9
195,690430E+0	183,120000E+0	20,000000E-3	203,600000E+0	0,000000E+0	8,810000E+0	10,000000E-3	493,726667E-3	1,154701E-3	Inf	3,000000E+0	250,000000E+0	3,719841050860E+9
195,985586E+0	183,406667E+0	5,773503E-3	203,900000E+0	0,000000E+0	8,806667E+0	5,773503E-3	491,060000E-3	0,000000E+0	Inf	3,000000E+0	250,000000E+0	3,719841060860E+9
